Stock,Year,Length,CatchNo
reineta,2016,590,0
reineta,2016,600,0
reineta,2017,250,0
reineta,2017,260,3
reineta,2017,270,1
reineta,2017,280,2
reineta,2017,290,11
reineta,2017,300,11
reineta,2017,310,13
reineta,2017,320,20
reineta,2017,330,32
reineta,2017,340,137
reineta,2017,350,446
reineta,2017,360,889
reineta,2017,370,1159
reineta,2017,380,1150
reineta,2017,390,930
reineta,2017,400,896
reineta,2017,410,716
reineta,2017,420,779
reineta,2017,430,679
reineta,2017,440,606
reineta,2017,450,631
reineta,2017,460,394
reineta,2017,470,426
reineta,2017,480,342
reineta,2017,490,284
reineta,2017,500,197
reineta,2017,510,130
reineta,2017,520,66
reineta,2017,530,37
reineta,2017,540,8
reineta,2017,550,7
reineta,2017,560,0
reineta,2017,570,0
reineta,2017,580,0
reineta,2017,590,0
reineta,2017,600,0
