"","Value"
"Virginal biomass per-recruit (BPR0)",163.2
"Current BPR",31.34
"Target BPR",48.96
"Current spawning potential ratio (SPR)",0.19
"Target SPR (SPRtar)",0.3
"Target fishing mortality (Ftar)",0.26
"Overfishing index (F/Ftar)",1.5
"Current yield per-recruit (YPRcur)",14.21
"Target  yield per-recruit (YPRtar)",14.98
